state,wineProduction
California,680272512
Washington,40747190
New York,27969308
Pennsylvania,12405181
Oregon,11822972
Ohio,5938738
Michigan,2576238
Kentucky,2176059
Vermont,2172526
Virginia,2157395
Texas,1907299
North Carolina,1903060
New Jersey,1832325
Florida,1634103
Indiana,1411540
Tennessee,1279752
Wisconsin,1129405
Missouri,993831
Massachusetts,792884
New Mexico,749818
Colorado,556994
Idaho,497007
Maryland,436185
Illinois,391805
Iowa,335522
Minnesota,331946
Georgia,276144
Arkansas,246363
Arizona,190008
New Hampshire,159316
South Dakota,139738
Connecticut,134517
Nebraska,120366
Kansas,104129
South Carolina,77842
Oklahoma,70204
Maine,48222
West Virginia,40733
Louisiana,38232
Alabama,34966
Montana,33445
Alaska,0
Delaware,0
Hawaii,0
Mississippi,0
Nevada,0
North Dakota,0
Rhode Island,0
Utah,0
Wyoming,0
